rank,book_writer
0,베르나르 베르베르
1,윌리엄 셰익스피어
2,장하준
3,록산 게이
4,전승환
5,데이비드 발다치
6,제인 오스틴
7,이병률
8,나쓰메 소세키
9,칼 세이건
10,도올 김용옥
11,곰돌이 co.
12,장강명
13,크리스텔 프티콜랭
14,포터 스타일
15,요시노 사츠키
16,시라코메 료
17,무라타 사야카
18,맘마미아
19,마루토 후미아키
20,무라타 유스케
21,레프 톨스토이
22,에드 맥기네스
23,아다치 미츠루
24,성석제
25,김용택
26,미도리카와 유키
27,토쿠노 쇼타로
28,CHIROLU
29,오노 후유미
30,김충원
31,타치바나 코우시
32,서천석
33,최영환
34,이노우에 다케히코
35,이태준
36,조승연
37,도미니크 로로
38,박웅현
39,요시타케 신스케
40,신태훈
41,유발 하라리
42,이민경
43,이시다 스이
44,마스다 미리
45,츠바키 이즈미
46,오모리 후지노
47,호리코시 코헤이
48,공지영
49,트롤
50,카미야 유우
51,오은영
52,앤서니 브라운
53,퍼엉
54,네코마키
55,정이현
56,실키
57,김난도
58,나태주
59,윤태영
60,기욤 뮈소
61,아오야마 고쇼
62,윤동주
63,조영선
64,파울로 코엘료
65,올댓스토리
66,정유정
67,주진우
68,백영옥
69,정은궐
70,마루야마 쿠가네
71,KBS '명견만리' 제작진
72,앤절라 더크워스
73,아카츠키 나츠메
74,ONE
75,김진명
76,송도수
77,앤디 그리피스
78,강원국
79,윤이수
80,헤르만 헤세
81,랜섬 릭스
82,무라카미 하루키
83,한강
84,나가츠키 탓페이
85,폴 칼라니티
86,게르드 브란튼베르그
87,유시민
88,알랭 드 보통
89,히가시노 게이고
90,기시미 이치로
91,편집부(전집)
92,채사장
93,조정래
94,김제동
95,오다 에이치로
96,윤홍균
97,후루다테 하루이치
98,설민석
99,J.K. 롤링
